place_id,user_id,score,comment
콩나물교실해장국 울산본점,박세진,5.0,"정말 콩나물국밥은 최고봉
울산가면 무조건 먹어야되는 국밥"
콩나물교실해장국 울산본점,hyundaigroup,5.0,"콩나물계의 맛집 인정
뷰는 덤"
콩나물교실해장국 울산본점,김태훈,5.0,"저렴한가격,편리한주차장,역시 맛이 최고"
콩나물교실해장국 울산본점,Dong uck/ individual Kim,3.0,가격이 올랐어요.. 그래서 손님이 조금 없네요
콩나물교실해장국 울산본점,S.H. Park,5.0,6천원가격에 이맛! 밑반찬 인심도 최고
콩나물교실해장국 울산본점,서이우룡,4.0,뜨끈한 콩나물국밥 너무 좋습니다.
콩나물교실해장국 울산본점,성공연주가,3.0,예전의 맛이 아니네요 --;
콩나물교실해장국 울산본점,폭시,5.0,개꿀맛 울산살든 울산오면 꼭 먹어보셈 P.S 참고로 난 울산사람
콩나물교실해장국 울산본점,김금희 (행복설계사),5.0,주차! 맛! 어느것하나 부족하지 않은곳!
콩나물교실해장국 울산본점,정진수,5.0,역시 이 맛은 잊을 수가 없네
콩나물교실해장국 울산본점,정해랑,3.0,조금만더 친절하셨ㅇㆍ면
콩나물교실해장국 울산본점,베르됭의악마,5.0,특색있는 콩나물집입니다. 강력추천
콩나물교실해장국 울산본점,밤톨,5.0,울산에서 제일 맛있는집 중 하나
콩나물교실해장국 울산본점,김종철,3.0,"웬지 맛있을것같아  지금 갈려고
합니다"
콩나물교실해장국 울산본점,전윤미,4.0,맛있게 먹구나왔네요~
콩나물교실해장국 울산본점,아름,4.0,속이풀리는 맛!! 수란이 맛나요
콩나물교실해장국 울산본점,하루살이,4.0,맛이 그때그때 조금씩 달라짐. 맛있음
콩나물교실해장국 울산본점,히히라이프,5.0,콩나물국밥 맛집 추천합니다
콩나물교실해장국 울산본점,김갑환,5.0,
콩나물교실해장국 울산본점,정의성,5.0,
콩나물교실해장국 울산본점,가을바람,5.0,옛날 계란 파동때 맛이 좀 변했었는데 다시 예전의 맛을 찾았네요 항상 맛있게 잘먹고 있습니다울산에서 최고로 맛있는 콩나물집 번창 하세요
콩나물교실해장국 울산본점,정,1.0,
콩나물교실해장국 울산본점,최원재,1.0,예전에 확장이전하기 전에 자주갔었는데영업시간 9시까지로 줄이고나서 음식특성상 나오고 먹는데 오래걸리지도않는데 8시만되면 문전박대하네요세번 그러고 나니 이젠 갈일이 없을듯
콩나물교실해장국 울산본점,박재헌,1.0,단골이었는데 종업원의 불친절. 손님한테 샷대질. 다신 갈일없네요. 맛도 많이 바뀌었고
콩나물교실해장국 울산본점,웩웩,5.0,최고!!!번창하세요
콩나물교실해장국 울산본점,우리는모두,5.0,다시가고싶은곳입니다
콩나물교실해장국 울산본점,칀윈루,5.0,들깨맛 그냥 JMT
콩나물교실해장국 울산본점,윤용현,5.0,맛있음
콩나물교실해장국 울산본점,맛있으면 울리는 경보기,4.0,처음가봤는데 얼큰하고 맛있었어용!!! 또 갈거같아요 닭고기 찢은 반찬도 꿀맛이에용
콩나물교실해장국 울산본점,ㅎㅎ,5.0,닭고기 넣어먹는 유일한곳! 한그릇먹으면 든든합니당!!^^*
콩나물교실해장국 울산본점,도다리,4.0,오늘 3번째 갔어요 ㅎㅎ 역시 빨간게 더 나은거같습니다. 그리고 옆에 주차장에 건물 올리시는데 많이 올라갔습니다.
콩나물교실해장국 울산본점,스경,5.0,
콩나물교실해장국 울산본점,호비와하나,3.0,
콩나물교실해장국 울산본점,🤔,5.0,
콩나물교실해장국 울산본점,9구르미,3.0,콩나물 해장국.
콩나물교실해장국 울산본점,Ys,3.0,
콩나물교실해장국 울산본점,포동포동,5.0,
